Name,"Years active","Proven victims","Possible victims"
"Rhoades, Robert Ben",1975–1990,3,50+
"Rice, Stanley",1963–1968,3,5+
"Robinson, Harvey Miguel",1992–1993,3,3
"Robinson, John Wesley",1896–1913,3,3
"Rodriguez, Antonio",2010,3,3
"Rodriguez, Robert Neal",1984–1992,3,3
"Roye, Norman",1953–1954,3,3
"Rulloff, Edward H.",1844–1870,3,5
"Rundle, David Allen",1986,3,3
"Russell, George Waterfield",1990,3,3
"Samartaney, Malik",1991–2019,3,6
"Sanchez, Altemio",1990–2006,3,3+
"Santo, Anthony",1908,3,3
"Sapp, William",1992–1993,3,3+
"Schmid, Charles",1964,3,4
"Seda, Heriberto",1990–1993,3,3
"Severance, Charles",2003–2014,3,3
"Sharp, Michael Eugene",1982,3,5+
"Shaw, Sebastian",1991–1992,3,13
"Sifuentes, Jose",1998–2003,3,3
"Simmons, Beoria",1981–1983,3,3
"Singh, Michael",1975–1982,3,3
"Smallwood, Robert",1999–2006,3,3
"Spillman, Jack Owen",1994–1995,3,3
"Spisak, Frank",1982,3,3
"Stephani, Paul Michael",1980–1982,3,3
"Stickles, Martin",1899–1900,3,3
"Stokes, Winford",1969–1978,3,3
"Sumpter, Michael",1969–1973,3,3
"Thompson, William Paul",1983–1984,3,6
"Torrence, Michael",1987,3,3
"Vaultz, Horace Van",1981–1986,3,3+
"Victor, Clarence",1964–1987,3,3
"Warren, Edward Delon",1976–1979,3,3
"Washington, Steven",1963,3,3
"Weldon, Stewart",2017–2018,3,3
"Werner, Karl F.",1969–1971,3,3
"Wheeler-Weaver, Khalil",2016,3,4
"White, Larry Lamont",1983,3,3
"Whiteling, Sarah",1888,3,3
"Whitten, Hattie",1900–1902,3,3
"Wickline, William",1979–1982,3,3+
"Wiley, Nicholas",2004,3,7
"Williams, Dorothy",1987–1989,3,3
"Williams, Laron",1977–1981,3,5+
